Row #,Species,Count,Location,S/P,Date,LocID,SubID
998,Black Drongo,1,Kalindi Kinj Park,IN-DL,22 Feb 2011,L1089474,S10224783
999,Ashy Drongo,2,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
1000,Greater Racket-tailed Drongo,1,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
1001,Black-naped Monarch,1,Hlawga Park,MM-06,11 Jan 2017,L1899362,S33606771
1002,Hawaii Elepaio,6,"Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA",US-HI,08 Apr 2019,L285813,S54728716
1003,Tahiti Monarch,4,Tahiti - Vallee Tahihue,PF-WI,08 Nov 2013,L2414852,S15614180
1004,Magpie-lark,2,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
1005,White-winged Chough,6,Seymour Bushland Park,AU-VIC,19 Sep 2011,L2552424,S9847174
1006,Bull-headed Shrike,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,20 Nov 2010,L1484347,S9840789
1007,Red-backed Shrike,1,Silvaplanersee,CH-GR,21 Aug 2014,L4079563,S19535691
1008,Isabelline Shrike,2,National Chambal Sanctuary -- Chambal Ravines at Pinahat,IN-UP,04 Dec 2015,L2663232,S26131283
1009,Brown Shrike,1,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
1010,Bay-backed Shrike,1,National Chambal Sanctuary -- Chambal Ravines at Pinahat,IN-UP,04 Dec 2015,L2663232,S26131283
1011,Long-tailed Shrike,12,Jakarta--Sheraton Bandara Airport Hotel,ID-JW,29 Jul 2010,L1122084,S9840182
1012,Loggerhead Shrike,1,Airport St. along Half Moon Bay Airport fields,US-CA,22 Nov 2008,L780216,S9839645
1013,Northern Shrike,1,Sully Woodlands,US-VA,30 Oct 2016,L552673,S32301775
1014,Great Gray Shrike,3,National Chambal Sanctuary -- Chambal Ravines at Pinahat,IN-UP,04 Dec 2015,L2663232,S26131283
1015,Northern Fiscal,1,"Hans Cottage Botel, Cape Coast",GH-CP,05 Nov 2011,L1651612,S11312603
1016,Yellow-billed Shrike,1,Sakumono Lagoon,GH-AA,04 Nov 2011,L2027358,S11312588
1017,Canada Jay,6,Jasper National Park--Maligne Valley,CA-AB,22 Aug 2009,L351690,S9839908
