Row #,Species,Count,Location,S/P,Date,LocID,SubID
771,Hook-billed Kite,,Moyobama towards Jaen,PE-SAM,15 Oct 2012,L9695353,S64937179
772,Gray-headed Kite,,Canopy Tower locality,PA-8,22 Oct 2014,L9690908,S64937298
773,European Honey-buzzard,,Spain,ES-,24 Sep 2016,L3679729,S64937384
774,Oriental Honey-buzzard,1,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
775,Swallow-tailed Kite,,Florida,US-FL,03 Mar 1996,L108932,S72093705
776,White-headed Vulture,1,Wondo Genet Forestry College,ET-SN,28 Feb 2018,L2099184,S58093924
777,Cinereous Vulture,,Spain,ES-,24 Sep 2016,L3679729,S64937384
778,Hooded Vulture,2,Addis Ababa--Ghion Hotel,ET-AA,11 Feb 2018,L3016220,S57747638
779,White-backed Vulture,1,Addis Ababa--Ghion Hotel,ET-AA,11 Feb 2018,L3016220,S57747638
780,Rüppell's Griffon,10,Debre Libanos--Lodge and Portuguese Bridge,ET-OR,12 Feb 2018,L1550631,S57747719
781,Himalayan Griffon,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
782,Eurasian Griffon,,Spain,ES-,27 Jul 2016,L3679729,S64937424
783,Crested Serpent-Eagle,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
784,Philippine Serpent-Eagle,2,"La Mesa Eco Park, Quezon City",PH-00,02 Oct 2015,L4043600,S64937454
785,Bateleur,1,"Gibe Gorge Rd (8.2520,37.6195)",ET-SN,01 Mar 2018,L7002963,S58093885
786,Short-toed Snake-Eagle,,Spain,ES-,27 Jul 2016,L3679729,S64937424
787,Black-chested Snake-Eagle,1,Awash NP--southern section,ET-AF,15 Feb 2018,L1550655,S58094222
788,Harpy Eagle,1,Reserva Natural Palmarí,BR-AM,23 Jun 2018,L3018622,S72502277
789,Crowned Eagle,1,BMNP--Harenna Forest (please use more specific location),ET-OR,21 Feb 2018,L2099191,S61036540
790,Changeable Hawk-Eagle,,Kitulgala Rest House,LK-9,09 Feb 2020,L4205542,S64936992
791,Mountain Hawk-Eagle,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
792,Philippine Hawk-Eagle,2,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
793,Black Hawk-Eagle,2,Canopy Tower locality,PA-8,22 Oct 2014,L9690908,S64937298
794,Long-crested Eagle,1,"(7.1268,38.5015)",ET-OR,28 Feb 2018,L7002944,S58093946
795,Black Eagle,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
796,Lesser Spotted Eagle,1,Aledeghi Wildlife Reserve,ET-AF,17 Feb 2018,L2846177,S58094299
797,Wahlberg's Eagle,2,"Rd from Bale Mountains NP to Negele (6.3082,39.8339)",ET-OR,22 Feb 2018,L7004198,S61036532
798,Booted Eagle,2,Spain,ES-,26 Sep 2017,L3679729,S64937442
799,Tawny Eagle,2,Sululta Plain,ET-OR,12 Feb 2018,L1550637,S57747740
800,Steppe Eagle,1,"Rd to Debre Birhan (9.7039,39.2515)",ET-OR,13 Feb 2018,L6869205,S58094094
801,Golden Eagle,,Ohlone Audubon Panoche Pass trip,US-CA,05 Feb 2001,L9709844,S72093682
802,African Hawk-Eagle,1,BMNP--Bale Mountain Lodge area,ET-OR,22 Feb 2018,L4053465,S61036537
803,Dark Chanting-Goshawk,2,"(9.5420,39.9300)",ET-AF,15 Feb 2018,L6877268,S58094141
804,Eastern Chanting-Goshawk,1,Negele/Hudert Rd,ET-OR,24 Feb 2018,L7004163,S58108028
